"","PlayerShort","Height","Weight","Position1","Club","Country","Rater1","Rater2","Rater","Skintone","Position","Games","Victories","Ties","Defeats","Goals","YellowCards","YellowReds","RedCards","RedCardsRate"
"716","ron-vlaar",189,80,"Center Back","Aston Villa","England",0,0.25,0.125,"very light","Def",249,118,60,71,12,27,1,0,0
"717","enda-stevens",183,74,"Left Fullback","Aston Villa","England",0,0.25,0.125,"very light","Def",49,12,9,28,0,8,0,0,0
"718","brede-hangeland",195,85,"Center Back","Fulham FC","England",0,0.25,0.125,"very light","Def",412,161,103,148,19,38,0,1,0.00242718446601942
"719","martin-kelly",191,77,"Center Back","Liverpool FC","England",0,0.25,0.125,"very light","Def",73,41,15,17,3,6,0,0,0
"720","sebastian-coates",196,85,"Center Back","Liverpool FC","England",0,0.25,0.125,"very light","Def",124,77,22,25,7,26,1,0,0
"721","matija-nastasic",187,79,"Center Back","Manchester City","England",0,0.25,0.125,"very light","Def",99,52,23,24,4,16,0,0,0
"722","aleksandar-kolarov",187,80,"Left Fullback","Manchester City","England",0,0.25,0.125,"very light","Def",285,138,57,90,28,50,4,3,0.0105263157894737
"723","davide-santon",187,77,"Left Fullback","Newcastle United","England",0,0.25,0.125,"very light","Def",171,80,38,53,1,13,0,0,0
"724","steven-whittaker",186,87,"Right Fullback","Norwich City","England",0,0.25,0.125,"very light","Def",387,191,79,117,28,47,2,1,0.00258397932816537
"725","matthew-upson",185,72,"Center Back","Stoke City","England",0,0.25,0.125,"very light","Def",449,181,110,158,18,46,0,2,0.0044543429844098
"726","marc-wilson",188,80,"Center Back","Stoke City","England",0,0.25,0.125,"very light","Def",200,71,48,81,2,34,0,1,0.005
"727","john-oshea",190,75,"Center Back","Sunderland AFC","England",0,0.25,0.125,"very light","Def",593,337,127,129,20,37,0,1,0.00168634064080944
"728","michael-dawson",188,76,"Center Back","Tottenham Hotspur","England",0,0.25,0.125,"very light","Def",415,194,108,113,17,68,1,4,0.00963855421686747
"729","goran-popov",189,89,"Left Fullback","West Bromwich Albion","England",0,0.25,0.125,"very light","Def",201,84,43,74,6,40,2,1,0.00497512437810945
"730","vincent-muratori",178,65,"Left Fullback","AS Nancy","France",0,0.25,0.125,"very light","Def",120,47,38,35,0,21,1,2,0.0166666666666667
"731","jeremie-brechet",186,76,"Center Back","ESTAC Troyes","France",0,0.25,0.125,"very light","Def",358,151,91,116,8,47,0,0,0
"732","noah-korczowski",185,80,"Center Back","1. FC N_rnberg","Germany",0,0.25,0.125,"very light","Def",95,56,15,24,3,15,0,0,0
"733","marvin-plattenhardt",181,76,"Left Fullback","1. FC N_rnberg","Germany",0,0.25,0.125,"very light","Def",136,48,36,52,5,23,0,0,0
"734","niko-bungert",188,75,"Center Back","1. FSV Mainz 05","Germany",0,0.25,0.125,"very light","Def",206,90,49,67,11,26,1,1,0.00485436893203883
"735","jan-kirchhoff",195,82,"Center Back","1. FSV Mainz 05","Germany",0,0.25,0.125,"very light","Def",143,75,31,37,7,18,0,0,0
"736","radoslav-zabavnik",180,78,"Left Fullback","1. FSV Mainz 05","Germany",0,0.25,0.125,"very light","Def",203,74,56,73,2,46,1,0,0
"737","zdenk-pospch",174,72,"Right Fullback","1. FSV Mainz 05","Germany",0,0.25,0.125,"very light","Def",297,144,67,86,19,26,1,0,0
"738","niklas-dams",185,77,"Center Back","Bor. M_nchengladbach","Germany",0,0.25,0.125,"very light","Def",145,71,33,41,10,6,0,0,0
"739","julian-korb",177,69,"Right Fullback","Bor. M_nchengladbach","Germany",0,0.25,0.125,"very light","Def",141,65,30,46,5,22,0,1,0.00709219858156028
"740","tony-jantschke",177,74,"Right Fullback","Bor. M_nchengladbach","Germany",0,0.25,0.125,"very light","Def",185,92,42,51,11,22,1,0,0
"741","marc-hornschuh",188,76,"Center Back","Borussia Dortmund","Germany",0,0.25,0.125,"very light","Def",169,76,39,54,6,13,0,1,0.00591715976331361
"742","neven-subotic",193,88,"Center Back","Borussia Dortmund","Germany",0,0.25,0.125,"very light","Def",300,169,66,65,24,32,1,1,0.00333333333333333
"743","roman-neustaedter",190,83,"Center Back","FC Schalke 04","Germany",0,0.25,0.125,"very light","Def",262,139,54,69,18,29,2,0,0
"744","christoph-metzelder",194,92,"Center Back","FC Schalke 04","Germany",0,0.25,0.125,"very light","Def",310,168,54,88,4,30,0,0,0
"745","sergio-escudero_3",176,67,"Left Fullback","FC Schalke 04","Germany",0,0.25,0.125,"very light","Def",89,34,23,32,5,16,1,0,0
"746","sead-kolasinac",183,82,"Left Fullback","FC Schalke 04","Germany",0,0.25,0.125,"very light","Def",116,70,23,23,15,25,0,0,0
"747","christian-schulz",185,80,"Center Back","Hannover 96","Germany",0,0.25,0.125,"very light","Def",425,200,79,146,26,74,3,0,0
"748","steven-cherundolo",172,69,"Right Fullback","Hannover 96","Germany",0,0.25,0.125,"very light","Def",491,206,112,173,9,73,5,1,0.00203665987780041
"749","hrvoje-cale",184,74,"Left Fullback","VfL Wolfsburg","Germany",0,0.25,0.125,"very light","Def",129,61,38,30,1,36,0,1,0.00775193798449612
"750","sebastian-proedl",194,85,"Center Back","Werder Bremen","Germany",0,0.25,0.125,"very light","Def",247,95,53,99,18,38,1,1,0.00404858299595142
"751","florian-hartherz",187,82,"Left Fullback","Werder Bremen","Germany",0,0.25,0.125,"very light","Def",97,53,23,21,3,10,0,0,0
"752","ekiza",180,73,"Center Back","Athletic Bilbao","Spain",0,0.25,0.125,"very light","Def",82,35,19,28,0,8,1,0,0
"753","iraola",182,75,"Right Fullback","Athletic Bilbao","Spain",0,0.25,0.125,"very light","Def",455,180,106,169,34,55,1,0,0
"754","diego-seoane_2",180,75,"Left Fullback","Deportivo La Coru±a","Spain",0,0.25,0.125,"very light","Def",58,27,9,22,0,10,0,0,0
"755","jordi-alba",170,69,"Left Fullback","FC Barcelona","Spain",0,0.25,0.125,"very light","Def",249,133,56,60,21,57,1,1,0.00401606425702811
"756","mainz",187,80,"Center Back","Granada CF","Spain",0,0.25,0.125,"very light","Def",158,50,40,68,6,32,1,1,0.00632911392405063
"757","jose-nunes",185,82,"Center Back","RCD Mallorca","Spain",0,0.25,0.125,"very light","Def",252,93,63,96,14,52,1,4,0.0158730158730159
"758","mikel-gonzalez",190,79,"Center Back","Real Sociedad","Spain",0,0.25,0.125,"very light","Def",216,85,61,70,6,52,4,1,0.00462962962962963
"759","carlos-martinez_2",189,79,"Right Fullback","Real Sociedad","Spain",0,0.25,0.125,"very light","Def",149,59,44,46,1,17,1,1,0.00671140939597315
"760","goni_3",186,82,"Center Back","Real Zaragoza","Spain",0,0.25,0.125,"very light","Def",45,13,9,23,0,14,1,0,0
"761","ivan-obradovic",181,74,"Left Fullback","Real Zaragoza","Spain",0,0.25,0.125,"very light","Def",89,38,17,34,2,17,0,0,0
"762","cristian-spunaru",187,81,"Right Fullback","Real Zaragoza","Spain",0,0.25,0.125,"very light","Def",193,104,38,51,9,58,3,1,0.00518134715025907
"763","alberto-botia",186,82,"Center Back","Sevilla FC","Spain",0,0.25,0.125,"very light","Def",171,51,50,70,4,69,0,3,0.0175438596491228
"764","fernando-navarro",176,69,"Left Fullback","Sevilla FC","Spain",0,0.25,0.125,"very light","Def",387,170,85,132,3,117,4,3,0.00775193798449612
"765","coke",176,70,"Right Fullback","Sevilla FC","Spain",0,0.25,0.125,"very light","Def",203,87,60,56,23,48,3,2,0.00985221674876847
"766","adil-rami",190,88,"Center Back","Valencia CF","Spain",0,0.25,0.125,"very light","Def",286,144,71,71,20,59,2,3,0.0104895104895105
"767","barragan_3",187,83,"Right Fullback","Valencia CF","Spain",0,0.25,0.125,"very light","Def",159,76,36,47,4,43,2,1,0.00628930817610063
"768","ruben-mino",190,87,"Goalkeeper","RCD Mallorca","Spain",0.5,0.75,0.625,"dark","GK",61,19,16,26,0,5,0,0,0
"769","cheikh-ndiaye",191,80,"Goalkeeper","Stade Rennes","France",0.75,0.75,0.75,"dark","GK",5,2,0,3,0,0,0,0,0
"770","david-yelldell",194,88,"Goalkeeper","Bayer Leverkusen","Germany",0.75,0.75,0.75,"dark","GK",211,78,51,82,0,7,0,1,0.004739336492891
"771","petr-cech",197,87,"Goalkeeper","Chelsea FC","England",0.25,0.25,0.25,"light","GK",665,385,140,140,0,9,0,1,0.00150375939849624
"772","jan-mucha",189,87,"Goalkeeper","Everton FC","England",0.25,0.25,0.25,"light","GK",156,77,33,46,0,10,0,0,0
"773","tim-howard",195,88,"Goalkeeper","Everton FC","England",0.25,0.25,0.25,"light","GK",515,251,129,135,1,18,0,1,0.00194174757281553
"774","mark-schwarzer",194,85,"Goalkeeper","Fulham FC","England",0.25,0.25,0.25,"light","GK",718,277,183,258,0,12,0,1,0.00139275766016713
"775","doni",194,89,"Goalkeeper","Liverpool FC","England",0.25,0.25,0.25,"light","GK",218,118,47,53,0,12,0,2,0.00917431192660551
"776","pepe-reina",188,92,"Goalkeeper","Liverpool FC","England",0.25,0.25,0.25,"light","GK",647,340,159,148,0,25,0,2,0.00309119010819165
"777","anders-lindegaard",193,80,"Goalkeeper","Manchester United","England",0.25,0.25,0.25,"light","GK",100,50,20,30,0,1,0,0,0
"778","tim-krul",188,74,"Goalkeeper","Newcastle United","England",0.25,0.25,0.25,"light","GK",180,77,35,68,0,12,0,1,0.00555555555555556
"779","robert-green",188,77,"Goalkeeper","Queens Park Rangers","England",0.25,0.25,0.25,"light","GK",504,197,119,188,0,4,0,2,0.00396825396825397
"780","thomas-soerensen",195,89,"Goalkeeper","Stoke City","England",0.25,0.25,0.25,"light","GK",511,196,135,180,0,10,0,0,0
"781","brad-friedel",193,91,"Goalkeeper","Tottenham Hotspur","England",0.25,0.25,0.25,"light","GK",582,247,151,184,1,7,0,1,0.00171821305841924
"782","boaz-myhill",191,92,"Goalkeeper","West Bromwich Albion","England",0.25,0.25,0.25,"light","GK",311,101,78,132,0,14,0,1,0.00321543408360129
"783","mike-pollitt",193,93,"Goalkeeper","Wigan Athletic","England",0.25,0.25,0.25,"light","GK",205,55,50,100,0,5,0,3,0.0146341463414634
"784","simon-pouplin",185,78,"Goalkeeper","FC Sochaux","France",0.25,0.25,0.25,"light","GK",203,74,51,78,0,11,0,0,0
"785","cedric-carrasso",192,87,"Goalkeeper","Girondins Bordeaux","France",0.25,0.25,0.25,"light","GK",314,136,98,80,0,9,1,2,0.00636942675159236
"786","laurent-pionnier",184,76,"Goalkeeper","Montpellier HSC","France",0.25,0.25,0.25,"light","GK",32,12,4,16,0,1,0,0,0
"787","anthony-lopes",184,81,"Goalkeeper","Olympique Lyon","France",0.25,0.25,0.25,"light","GK",54,27,12,15,0,3,0,0,0
"788","gennaro-bracigliano",183,82,"Goalkeeper","Olympique Marseille","France",0.25,0.25,0.25,"light","GK",159,52,49,58,0,9,0,1,0.00628930817610063
"789","nicolas-douchez",185,77,"Goalkeeper","Paris Saint-Germain","France",0.25,0.25,0.25,"light","GK",228,83,69,76,0,4,0,2,0.0087719298245614
"790","ronan-le-crom",186,77,"Goalkeeper","Paris Saint-Germain","France",0.25,0.25,0.25,"light","GK",168,50,43,75,0,2,0,2,0.0119047619047619
"791","salvatore-sirigu",190,80,"Goalkeeper","Paris Saint-Germain","France",0.25,0.25,0.25,"light","GK",230,127,48,55,0,10,0,0,0
"792","lionel-cappone",182,74,"Goalkeeper","Stade Brest","France",0.25,0.25,0.25,"light","GK",45,14,15,16,0,1,0,2,0.0444444444444444
"793","raphael-schaefer",190,92,"Goalkeeper","1. FC N_rnberg","Germany",0.25,0.25,0.25,"light","GK",379,143,89,147,0,31,0,0,0
"794","koen-casteels",196,83,"Goalkeeper","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","GK",78,27,20,31,0,3,0,1,0.0128205128205128
"795","jens-grahl",193,86,"Goalkeeper","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","GK",129,60,34,35,0,3,0,0,0
"796","tim-wiese",193,100,"Goalkeeper","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","GK",387,163,84,140,0,27,1,3,0.00775193798449612
"797","michael-rensing",190,92,"Goalkeeper","Bayer Leverkusen","Germany",0.25,0.25,0.25,"light","GK",271,129,65,77,0,19,0,0,0
"798","manuel-neuer",193,92,"Goalkeeper","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","GK",424,273,70,81,0,12,0,0,0
"799","roman-weidenfeller",188,85,"Goalkeeper","Borussia Dortmund","Germany",0.25,0.25,0.25,"light","GK",414,206,95,113,0,29,0,3,0.0072463768115942
"800","oka-nikolov",187,86,"Goalkeeper","Eintracht Frankfurt","Germany",0.25,0.25,0.25,"light","GK",414,165,103,146,0,11,0,0,0
"801","simon-jentzsch",196,96,"Goalkeeper","FC Augsburg","Germany",0.25,0.25,0.25,"light","GK",462,178,109,175,0,25,0,1,0.00216450216450216
"802","tom-mickel",186,81,"Goalkeeper","Hamburger SV","Germany",0.25,0.25,0.25,"light","GK",94,44,21,29,0,2,0,0,0
"803","rene-adler",191,87,"Goalkeeper","Hamburger SV","Germany",0.25,0.25,0.25,"light","GK",286,123,56,107,0,17,0,0,0
"804","jaroslav-drobny",192,90,"Goalkeeper","Hamburger SV","Germany",0.25,0.25,0.25,"light","GK",215,82,50,83,0,16,0,0,0
"805","markus-miller",189,92,"Goalkeeper","Hannover 96","Germany",0.25,0.25,0.25,"light","GK",228,89,50,89,0,6,0,0,0
"806","oliver-baumann",187,80,"Goalkeeper","SC Freiburg","Germany",0.25,0.25,0.25,"light","GK",214,91,51,72,0,1,0,0,0
"807","sven-ulreich",189,80,"Goalkeeper","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","GK",265,109,59,97,0,18,0,0,0
"808","andre-weis",189,86,"Goalkeeper","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","GK",98,31,31,36,0,4,0,1,0.0102040816326531
"809","marwin-hitz",192,89,"Goalkeeper","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","GK",89,54,16,19,0,2,0,3,0.0337078651685393
"810","diego-benaglio",194,89,"Goalkeeper","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","GK",371,157,87,127,0,20,0,2,0.00539083557951483
"811","raphael-wolf",190,86,"Goalkeeper","Werder Bremen","Germany",0.25,0.25,0.25,"light","GK",164,44,41,79,0,3,0,1,0.00609756097560976
"812","christian-vander",195,90,"Goalkeeper","Werder Bremen","Germany",0.25,0.25,0.25,"light","GK",109,36,25,48,0,4,0,0,0
"813","thibaut-courtois",199,88,"Goalkeeper","Atl©tico Madrid","Spain",0.25,0.25,0.25,"light","GK",210,130,47,33,0,6,0,1,0.00476190476190476
"814","javi-varas",182,73,"Goalkeeper","Celta Vigo","Spain",0.25,0.25,0.25,"light","GK",120,47,30,43,0,9,0,0,0
"815","kiko-casilla",191,84,"Goalkeeper","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","GK",153,50,42,61,0,14,0,3,0.0196078431372549
"816","cristian-alvarez_3",186,88,"Goalkeeper","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","GK",136,40,37,59,0,18,0,0,0
"817","victor-valdes",183,78,"Goalkeeper","FC Barcelona","Spain",0.25,0.25,0.25,"light","GK",542,364,111,67,0,32,1,2,0.003690036900369
"818","dudu-aouate",188,87,"Goalkeeper","RCD Mallorca","Spain",0.25,0.25,0.25,"light","GK",393,135,101,157,0,29,1,3,0.00763358778625954
"819","casto",182,78,"Goalkeeper","Real Betis","Spain",0.25,0.25,0.25,"light","GK",119,49,30,40,1,11,0,3,0.0252100840336134
"820","claudio-bravo",185,84,"Goalkeeper","Real Sociedad","Spain",0.25,0.25,0.25,"light","GK",319,132,76,111,1,19,0,1,0.00313479623824451
"821","dani-hernandez",196,85,"Goalkeeper","Real Valladolid","Spain",0.25,0.25,0.25,"light","GK",68,22,25,21,0,2,0,0,0
"822","toni-doblas",184,78,"Goalkeeper","Real Zaragoza","Spain",0.25,0.25,0.25,"light","GK",189,67,55,67,0,24,1,1,0.00529100529100529
"823","adrian_7",188,82,"Goalkeeper","SD Compostela","Spain",0.25,0.25,0.25,"light","GK",29,10,11,8,0,3,0,0,0
"824","guaita",190,80,"Goalkeeper","Valencia CF","Spain",0.25,0.25,0.25,"light","GK",141,62,41,38,0,14,0,0,0
"825","carlo-nash",196,89,"Goalkeeper","Stoke City","England",0.5,0.25,0.375,"light","GK",131,57,40,34,0,2,0,0,0
"826","palop",184,83,"Goalkeeper","Sevilla FC","Spain",0.5,0.25,0.375,"light","GK",387,192,80,115,1,39,0,2,0.00516795865633075
"827","gomes",191,82,"Goalkeeper","Tottenham Hotspur","England",0.25,0.5,0.375,"light","GK",332,188,68,76,0,12,0,1,0.00301204819277108
"828","tom-starke",194,91,"Goalkeeper","Bayern M_nchen","Germany",0.25,0.5,0.375,"light","GK",276,105,63,108,0,7,0,0,0
"829","jordi-codina",189,87,"Goalkeeper","Getafe CF","Spain",0.25,0.5,0.375,"light","GK",76,25,21,30,0,2,0,0,0
"830","roberto_11",181,78,"Goalkeeper","Granada CF","Spain",0.25,0.5,0.375,"light","GK",148,55,35,58,0,24,0,1,0.00675675675675676
"831","diego-alves",188,85,"Goalkeeper","Valencia CF","Spain",0.25,0.5,0.375,"light","GK",233,81,62,90,0,25,0,1,0.00429184549356223
"832","jonathan-ligali",183,82,"Goalkeeper","Montpellier HSC","France",0.5,0.5,0.5,"middle","GK",9,4,1,4,0,1,0,0,0
"833","alphonse-areola",190,88,"Goalkeeper","Paris Saint-Germain","France",0.5,0.5,0.5,"middle","GK",47,26,14,7,0,0,0,0,0
"834","mohamed-amsif",187,89,"Goalkeeper","FC Augsburg","Germany",0.5,0.5,0.5,"middle","GK",61,14,18,29,0,6,0,0,0
"835","gustavo-munua",188,87,"Goalkeeper","Levante UD","Spain",0.5,0.5,0.5,"middle","GK",224,75,55,94,1,24,0,0,0
"836","guy-ndy-assembe",184,79,"Goalkeeper","AS Nancy","France",0.75,1,0.875,"very dark","GK",132,43,45,44,0,3,0,0,0
"837","abdoulaye-keita_2",188,83,"Goalkeeper","Girondins Bordeaux","France",0.75,1,0.875,"very dark","GK",3,0,1,2,0,0,0,0,0
"838","steve-mandanda",185,82,"Goalkeeper","Olympique Marseille","France",0.75,1,0.875,"very dark","GK",350,167,86,97,0,10,1,1,0.00285714285714286
"839","abdoulaye-diallo_2",189,80,"Goalkeeper","Stade Rennes","France",0.75,1,0.875,"very dark","GK",24,8,8,8,0,0,0,0,0
"840","barel-mouko",177,71,"Goalkeeper","Lille OSC","France",1,1,1,"very dark","GK",24,11,5,8,0,1,0,0,0
"841","issa-ndoye",202,94,"Goalkeeper","SpVgg Greuther F_rth","Germany",1,1,1,"very dark","GK",25,4,10,11,0,2,0,0,0
"842","carlos-kameni",184,78,"Goalkeeper","Mlaga CF","Spain",1,1,1,"very dark","GK",292,105,75,112,0,20,0,3,0.0102739726027397
"843","vito-mannone",187,80,"Goalkeeper","Arsenal FC","England",0,0,0,"very light","GK",102,47,24,31,0,2,0,0,0
"844","lukasz-fabianski",190,84,"Goalkeeper","Arsenal FC","England",0,0,0,"very light","GK",104,60,15,29,0,1,0,0,0
"845","shay-given",188,84,"Goalkeeper","Aston Villa","England",0,0,0,"very light","GK",665,272,180,213,0,20,0,1,0.00150375939849624
"846","brad-guzan",193,95,"Goalkeeper","Aston Villa","England",0,0,0,"very light","GK",188,76,42,70,0,9,0,0,0
"847","ross-turnbull",193,85,"Goalkeeper","Chelsea FC","England",0,0,0,"very light","GK",116,31,31,54,0,5,0,1,0.00862068965517241
"848","david-stockdale",191,84,"Goalkeeper","Fulham FC","England",0,0,0,"very light","GK",108,43,21,44,0,4,0,0,0
"849","brad-jones",193,79,"Goalkeeper","Liverpool FC","England",0,0,0,"very light","GK",124,43,36,45,0,4,0,2,0.0161290322580645
"850","peter-gulacsi",190,75,"Goalkeeper","Liverpool FC (R)","England",0,0,0,"very light","GK",106,65,11,30,0,2,0,0,0
"851","de-gea",190,82,"Goalkeeper","Manchester United","England",0,0,0,"very light","GK",248,136,46,66,0,6,0,0,0
"852","sam-johnstone",191,85,"Goalkeeper","Manchester United","England",0,0,0,"very light","GK",48,11,18,19,0,4,0,0,0
"853","john-ruddy",193,97,"Goalkeeper","Norwich City","England",0,0,0,"very light","GK",175,62,55,58,0,5,0,1,0.00571428571428571
"854","adam-federici",188,90,"Goalkeeper","Reading FC","England",0,0,0,"very light","GK",206,83,54,69,1,4,0,0,0
"855","ben-foster",188,80,"Goalkeeper","West Bromwich Albion","England",0,0,0,"very light","GK",246,89,68,89,0,8,0,1,0.0040650406504065
"856","jussi-jaeaeskelaeinen",193,80,"Goalkeeper","West Ham United","England",0,0,0,"very light","GK",524,171,137,216,0,28,0,4,0.00763358778625954
"857","stephan-andersen",188,82,"Goalkeeper","_vian Thonon Gaillard","France",0,0,0,"very light","GK",252,102,55,95,0,5,0,0,0
"858","damien-gregorini",194,90,"Goalkeeper","AS Nancy","France",0,0,0,"very light","GK",261,84,87,90,0,5,0,0,0
"859","geoffrey-jourdren",181,73,"Goalkeeper","Montpellier HSC","France",0,0,0,"very light","GK",190,79,53,58,0,10,0,1,0.00526315789473684
"860","remy-vercoutre",184,72,"Goalkeeper","Olympique Lyon","France",0,0,0,"very light","GK",116,58,27,31,0,9,2,0,0
"861","benjamin-uphoff",190,78,"Goalkeeper","1. FC N_rnberg","Germany",0,0,0,"very light","GK",64,24,17,23,0,0,0,0,0
"862","loris-karius",189,75,"Goalkeeper","1. FSV Mainz 05","Germany",0,0,0,"very light","GK",50,21,10,19,0,1,0,0,0
"863","bernd-leno",190,79,"Goalkeeper","Bayer Leverkusen","Germany",0,0,0,"very light","GK",208,98,48,62,0,9,0,0,0
"864","niklas-lomb",188,84,"Goalkeeper","Bayer Leverkusen","Germany",0,0,0,"very light","GK",87,41,21,25,0,1,0,0,0
"865","mitchell-langerak",192,81,"Goalkeeper","Borussia Dortmund","Germany",0,0,0,"very light","GK",60,35,10,15,0,3,0,1,0.0166666666666667
"866","zlatan-alomerovic",187,88,"Goalkeeper","Borussia Dortmund","Germany",0,0,0,"very light","GK",111,50,27,34,0,10,0,1,0.00900900900900901
"867","aykut-oezer",189,80,"Goalkeeper","Eintracht Frankfurt","Germany",0,0,0,"very light","GK",73,33,11,29,0,5,0,1,0.0136986301369863
"868","kevin-trapp",189,83,"Goalkeeper","Eintracht Frankfurt","Germany",0,0,0,"very light","GK",174,76,40,58,0,5,0,2,0.0114942528735632
"869","ioannis-gelios",190,76,"Goalkeeper","FC Augsburg","Germany",0,0,0,"very light","GK",76,27,22,27,0,1,0,1,0.0131578947368421
"870","timo-hildebrand",186,80,"Goalkeeper","FC Schalke 04","Germany",0,0,0,"very light","GK",438,200,99,139,0,14,0,0,0
"871","ralf-faehrmann",196,93,"Goalkeeper","FC Schalke 04","Germany",0,0,0,"very light","GK",115,54,20,41,0,3,0,2,0.0173913043478261
"872","lars-unnerstall",198,100,"Goalkeeper","FC Schalke 04","Germany",0,0,0,"very light","GK",129,60,27,42,0,4,0,0,0
"873","robert-almer",194,88,"Goalkeeper","Fortuna D_sseldorf","Germany",0,0,0,"very light","GK",112,52,24,36,0,1,0,0,0
"874","fabian-giefer",196,93,"Goalkeeper","Fortuna D_sseldorf","Germany",0,0,0,"very light","GK",136,48,33,55,0,9,0,2,0.0147058823529412
"875","marek-grosse",186,83,"Goalkeeper","Hannover 96","Germany",0,0,0,"very light","GK",9,3,0,6,0,1,0,0,0
"876","daniel-batz",189,84,"Goalkeeper","SC Freiburg","Germany",0,0,0,"very light","GK",62,29,18,15,0,2,0,0,0
"877","max-gruen",190,86,"Goalkeeper","SpVgg Greuther F_rth","Germany",0,0,0,"very light","GK",116,50,32,34,0,1,0,1,0.00862068965517241
"878","patrick-drewes",193,87,"Goalkeeper","VfL Wolfsburg","Germany",0,0,0,"very light","GK",70,45,14,11,0,0,0,0,0
"879","sebastian-mielitz",188,73,"Goalkeeper","Werder Bremen","Germany",0,0,0,"very light","GK",124,40,28,56,0,3,0,0,0
"880","richard-strebinger",194,90,"Goalkeeper","Werder Bremen","Germany",0,0,0,"very light","GK",83,37,13,33,0,6,1,2,0.0240963855421687
"881","arrizabalaga",186,81,"Goalkeeper","Athletic Bilbao","Spain",0,0,0,"very light","GK",31,18,7,6,0,2,0,0,0
"882","iraizoz",191,81,"Goalkeeper","Athletic Bilbao","Spain",0,0,0,"very light","GK",322,135,72,115,0,21,0,0,0
"883","raul_10",196,86,"Goalkeeper","Athletic Bilbao","Spain",0,0,0,"very light","GK",20,5,11,4,0,1,0,0,0
"884","riesgo",185,76,"Goalkeeper","CA Osasuna","Spain",0,0,0,"very light","GK",139,35,37,67,0,9,0,1,0.00719424460431655
"885","aranzubia",184,80,"Goalkeeper","Deportivo La Coru±a","Spain",0,0,0,"very light","GK",370,143,90,137,1,36,1,4,0.0108108108108108
"886","pinto",185,82,"Goalkeeper","FC Barcelona","Spain",0,0,0,"very light","GK",229,110,46,73,0,17,0,1,0.00436681222707424
"887","tono",182,82,"Goalkeeper","Granada CF","Spain",0,0,0,"very light","GK",214,65,64,85,0,21,0,5,0.0233644859813084
"888","dani-gimenez",182,77,"Goalkeeper","Rayo Vallecano","Spain",0,0,0,"very light","GK",86,31,21,34,0,8,0,1,0.0116279069767442
"889","david-cobeno",189,82,"Goalkeeper","Rayo Vallecano","Spain",0,0,0,"very light","GK",157,60,45,52,1,17,0,1,0.00636942675159236
"890","calatayud",191,88,"Goalkeeper","RCD Mallorca","Spain",0,0,0,"very light","GK",214,80,54,80,0,12,0,1,0.00467289719626168
"891","iker-casillas",185,84,"Goalkeeper","Real Madrid","Spain",0,0,0,"very light","GK",800,525,136,139,0,23,1,1,0.00125
"892","adan",190,88,"Goalkeeper","Real Madrid","Spain",0,0,0,"very light","GK",44,22,6,16,0,1,0,1,0.0227272727272727
"893","zubikarai",185,84,"Goalkeeper","Real Sociedad","Spain",0,0,0,"very light","GK",47,14,15,18,0,2,0,2,0.0425531914893617
"894","jaime_11",188,80,"Goalkeeper","Real Valladolid","Spain",0,0,0,"very light","GK",99,44,28,27,0,7,0,1,0.0101010101010101
"895","leo-franco",188,79,"Goalkeeper","Real Zaragoza","Spain",0,0,0,"very light","GK",446,184,111,151,0,29,0,4,0.00896860986547085
"896","ron-robert-zieler",188,83,"Goalkeeper","Hannover 96","Germany",0.25,0,0.125,"very light","GK",174,74,39,61,0,10,0,1,0.00574712643678161
"897","sergio-alvarez_3",179,75,"Goalkeeper","Celta Vigo","Spain",0.25,0,0.125,"very light","GK",29,19,3,7,0,0,0,1,0.0344827586206897
"898","wojciech-szczesny",195,75,"Goalkeeper","Arsenal FC","England",0,0.25,0.125,"very light","GK",203,105,47,51,0,11,0,2,0.00985221674876847
"899","hilario",189,85,"Goalkeeper","Chelsea FC","England",0,0.25,0.125,"very light","GK",53,31,9,13,0,2,0,0,0
"900","joe-hart",191,80,"Goalkeeper","Manchester City","England",0,0.25,0.125,"very light","GK",350,195,74,81,0,10,0,0,0
"901","costel-pantilimon",203,96,"Goalkeeper","Manchester City","England",0,0.25,0.125,"very light","GK",145,71,43,31,0,13,0,1,0.00689655172413793
"902","julio-cesar_4",186,79,"Goalkeeper","Queens Park Rangers","England",0,0.25,0.125,"very light","GK",411,239,89,83,0,17,0,3,0.0072992700729927
"903","stuart-taylor",195,86,"Goalkeeper","Reading FC","England",0,0.25,0.125,"very light","GK",69,29,18,22,0,1,0,0,0
"904","artur-boruc",193,88,"Goalkeeper","Southampton FC","England",0,0.25,0.125,"very light","GK",364,190,84,90,0,24,0,0,0
"905","asmir-begovic",198,83,"Goalkeeper","Stoke City","England",0,0.25,0.125,"very light","GK",192,68,52,72,1,11,0,1,0.00520833333333333
